ir_class,n_irs,trait,r2_real,r2_null_mean,r2_null_std,p_empirical,beats_null
all,6642,FT16,0.29956307452770503,0.29483268555322667,0.04333240647787333,0.45161290322580644,False
all,6642,FT10,0.2983716960567845,0.2834587076923841,0.05937658479855434,0.4838709677419355,False
stem_short(14-19),5552,FT16,0.29238236996321654,0.29967950566809515,0.04315537746826994,0.7419354838709677,False
stem_short(14-19),5552,FT10,0.2984741873257517,0.3053033832184951,0.052770758968316234,0.5806451612903226,False
stem_medium(20-29),940,FT16,0.223022820992126,0.26135592107031524,0.0459931488978548,0.8387096774193549,False
stem_medium(20-29),940,FT10,0.1390354575361391,0.2757205554320083,0.05112843207599231,0.967741935483871,False
stem_long(>=30),150,FT16,0.11724891874646381,0.1863438798885018,0.055513071118351846,0.8387096774193549,False
stem_long(>=30),150,FT10,0.1850829011945614,0.15873351501770708,0.06736602629666394,0.3870967741935484,False
loop_tight(<=3),3297,FT16,0.14282500669086917,0.2915879561056197,0.037369737734525246,1.0,False
loop_tight(<=3),3297,FT10,0.12060977793029226,0.2898937335731903,0.048443395728041815,1.0,False
loop_large(>=16),2418,FT16,0.2845335193057732,0.26954983795768184,0.03899075249607284,0.3548387096774194,False
loop_large(>=16),2418,FT10,0.24674473579572365,0.256405185248926,0.06557263549987874,0.6451612903225806,False
perfect(0mm),1384,FT16,0.2597755353849419,0.25774829897270707,0.06744942803379377,0.6451612903225806,False
perfect(0mm),1384,FT10,0.2030788988375014,0.2901964464003329,0.05206514353235168,0.9032258064516129,False
imperfect(>=1mm),5258,FT16,0.2940779624361973,0.2874576330830084,0.04536423699633941,0.5483870967741935,False
imperfect(>=1mm),5258,FT10,0.29521998805523697,0.30870918192863905,0.05649085865028758,0.6774193548387096,False
GC_rich_stem(>=0.6),81,FT16,0.09408602698003798,0.009489679344971929,0.09846584620939872,0.3225806451612903,False
GC_rich_stem(>=0.6),81,FT10,-0.030835108573141534,-0.02386849635452382,0.18506174104552522,0.5806451612903226,False
"strong_hairpin(stem>=25,loop<=10,perfect)",77,FT16,-0.09084266855647849,0.09944999574201815,0.08690642175192549,0.967741935483871,False
"strong_hairpin(stem>=25,loop<=10,perfect)",77,FT10,0.016750608041972925,0.09102772934102922,0.123930162439339,0.8064516129032258,False
