context,n_irs,trait,r2_real,r2_null_mean,r2_null_std,p_empirical,beats_null
promoter,1839,FT16,0.2789186420854425,0.2599120789902903,0.05142492714888461,0.4838709677419355,False
promoter,1839,FT10,0.2632168487998835,0.29650886824585176,0.052446475875299624,0.8064516129032258,False
five_prime_UTR,111,FT16,0.0893439249093656,0.08732069702241804,0.08645796336817053,0.6129032258064516,False
five_prime_UTR,111,FT10,0.07180728819532423,0.08731503155698427,0.14290614535961896,0.6451612903225806,False
three_prime_UTR,122,FT16,0.04906439986698974,0.1170947254728227,0.0757151818156804,0.9032258064516129,False
three_prime_UTR,122,FT10,0.11899235614933168,0.11331341238062848,0.0718924949212521,0.4838709677419355,False
exon,163,FT16,0.02505297125495043,0.16471961427541337,0.05614902466884576,0.967741935483871,False
exon,163,FT10,-0.04404623643423555,0.13244433070495182,0.10365718825468101,0.9032258064516129,False
intron,767,FT16,0.24272346174021164,0.24748393980841746,0.07964421406343955,0.7096774193548387,False
intron,767,FT10,0.2264633469888031,0.23400133319164476,0.058225861334343876,0.6129032258064516,False
intergenic,3640,FT16,0.25565660191044604,0.29115919296236636,0.0444195931891281,0.7741935483870968,False
intergenic,3640,FT10,0.22713274768667624,0.27539490952733503,0.06998199023870723,0.7096774193548387,False
